CountryName,Year,SuicideRate,GDP_PerCapita
Sudan,2020,8.1,2398.10188
Suriname,2020,22.8,5606.712075
Sweden,2020,14.8,51617.54035
Switzerland,2020,17.2,80037.50304
Tajikistan,2020,2.5,802.5180041
Thailand,2020,14.4,5978.611454
Timor-Leste,2020,4.6,2053.273798
Togo,2020,9.6,587.8744094
Tonga,2020,3.5,3966.15652
Trinidad and Tobago,2020,13.6,15786.12052
Tunisia,2020,3.4,3698.565075
Turkey,2020,7.3,10820.63384
Turkmenistan,2020,6.7,6389.548408
Uganda,2020,9.9,608.7057351
Ukraine,2020,22.4,2187.731997
United Arab Emirates,2020,2.8,38141.84676
United Kingdom,2020,8.9,40539.91961
United States of America,2020,15.3,57904.20196
Uruguay,2020,18.4,15387.14403
Uzbekistan,2020,7.4,2567.799418
Vanuatu,2020,4.5,2830.965284
Zambia,2020,6.1,1280.578447
Zimbabwe,2020,10.7,1464.583529
